atomic_number,symbol,name,mass_number,electron_configuration,e_group,e_period,year,ionisation_energy,abundance,density,melting_point,boiling_point,electronegativity,specific_heat_capacity,radioactive,block
1,H,Hydrogen,1.008,1s1,1,1,1776,13.6,1400,0.09,-259,-253,2.2,14.304,FALSE,s
2,He,Helium,4.003,1s2,18,1,1895,24.59,0.008,0.18,-272,-269,,5.193,FALSE,p
3,Li,Lithium,6.941,[He] 2s1,1,2,1817,5.39,20,0.53,180,1347,0.98,3.582,FALSE,s
4,Be,Beryllium,9.012,[He] 2s2,2,2,1797,9.32,2.8,1.85,1278,2970,1.57,1.825,FALSE,s
5,B,Boron,10.811,[He] 2s2 2p1,13,2,1808,8.3,10,2.34,2300,2550,2.04,1.026,FALSE,p
6,C,Carbon,12.011,[He] 2s2 2p1,14,2,ancient,11.26,200,2.26,3500,4827,2.55,0.709,FALSE,p
7,N,Nitrogen,14.007,[He] 2s2 2p3,15,2,1772,14.53,19,1.25,-210,-196,3.04,1.04,FALSE,p
8,O,Oxygen,15.999,[He] 2s2 2p4,16,2,1774,13.62,461000,1.43,-218,-183,3.44,0.918,FALSE,p
9,F,Fluorine,18.998,[He] 2s2 2p5,17,2,1886,17.42,585,1.7,-220,-188,3.98,0.824,FALSE,p
10,Ne,Neon,20.18,[He] 2s2 2p6,18,2,1898,21.56,0.005,0.9,-249,-246,,1.03,FALSE,p
11,Na,Sodium,22.99,[Ne] 3s1,1,3,1807,5.14,23600,0.97,98,883,0.93,1.228,FALSE,s
12,Mg,Magnesium,24.305,[Ne] 3s2,2,3,1755,7.65,23300,1.74,639,1090,1.31,1.023,FALSE,s
13,Al,Aluminium,26.982,[Ne] 3s2 3p1,13,3,1825,5.99,82300,2.7,660,2467,1.61,0.897,FALSE,p
14,Si,Silicon,28.086,[Ne] 3s2 3p2,14,3,1824,8.15,282000,2.33,1410,2355,1.9,0.705,FALSE,p
15,P,Phosphorus,30.974,[Ne] 3s2 3p3,15,3,1669,10.49,1050,1.82,44,280,2.19,0.769,FALSE,p
16,S,Sulfur,32.065,[Ne] 3s2 3p4,16,3,ancient,10.36,350,2.07,113,445,2.58,0.71,FALSE,p
17,Cl,Chlorine,35.453,[Ne] 3s2 3p5,17,3,1774,12.97,145,3.21,-101,-35,3.16,0.479,FALSE,p
18,Ar,Argon,39.948,[Ne] 3s2 3p6,18,3,1894,15.76,3.5,1.78,-189,-186,,0.52,FALSE,p
19,K,Potassium,39.098,[Ar] 4s1,1,4,1807,4.34,20900,0.86,64,774,0.82,0.757,FALSE,s
